TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
4.53,1.4,2,0.4,5,6.5,2.5,0
4.51,2.8,1,0.6,5,6.5,4.5,0
4.49,2,10,0.5,6,5.5,4.5,0
4.48,4.4,0,0.3,5,6,2.5,0
4.48,3.8,1,1,1,0,0,0
4.46,3.7,10,0.7,8,3.5,4.5,0
4.46,3.6,2,0.2,3,5,4,0
4.45,3.9,2,0.3,2,3,2,0
4.44,4.9,6,0.9,6,7,5.5,0
4.44,4.7,0,0.4,4.5,4,4,0
4.43,4.6,10,0.3,5,6.5,2.5,0
4.43,2,6,0.8,4.5,8.5,3.5,0
4.43,1.4,4,0.4,6,4,4.5,0
4.42,4.7,9,0.6,5,5,5,0
4.42,3.6,9,0.4,4.5,7,3,0
4.42,1.8,9,0.9,2,6.5,2.5,0
4.4,1.4,2,0.1,7.5,7,4.5,0
4.4,1.2,10,0.5,7,7,5,0
4.38,3.3,2,0.1,5,5,4.5,0
4.36,2.3,7,0.2,5,6,6,0
4.34,4.1,0,0.7,6.5,7.5,4,0
4.33,3.3,11,0.6,7,7,5,0
4.33,3.1,10,0.6,8.5,6.5,4.5,0
4.31,4.2,9,0.8,6,7.5,5,0
4.28,4.4,0,1,3,6,6.5,0
4.28,2.9,11,0.9,4,5.5,4,0
4.27,3.6,12,1,3.5,6.5,6,0
4.25,3.8,4,0.7,3.5,6.5,2.5,0
4.25,3.7,4,0.2,7.5,6.5,4,0
4.24,2.3,0,0.2,5.5,7,3,0
4.23,2.2,2,0.6,7,7,3,0
4.21,2,9,0.9,2,1,3.5,0
4.2,4.6,5,0.8,5.5,6.5,6,0
4.19,3.2,1,0.2,4.5,5.5,5,0
4.19,2,4,0.5,0.5,5.5,2.5,0
4.18,3.8,0,0.1,3.5,7,4,0
4.18,2.8,10,0.8,4.5,4,4,0
4.18,2,8,0.4,5,7,1.5,0
4.18,1.4,4,0.5,3.5,6,7,0
4.16,4.2,2,0.5,8,7,3,0
4.16,3,5,0.8,6.5,7,4,0
4.16,1.9,1,0.6,6,7,3,0
4.16,1.8,2,0.2,8,4.5,5.5,0
4.13,4.6,0,0.5,3,4.5,4,0
4.13,3.1,10,0.4,5.5,6,4,0
4.13,1.4,4,0.1,3.5,5.5,4,0
4.11,4.6,5,0.6,6.5,5.5,5,0
4.11,3.3,3,0.6,3,7,4.5,0
4.09,3.8,1,0.6,8,5,2.5,0
4.08,3.7,14,0.3,2,0,0,0
4.06,4,5,0.5,5.5,6.5,6,0
4.06,3.8,9,0.4,4,6.5,6,0
4.06,2.3,2,0.3,5.5,3.5,4.5,0
4.05,3.6,6,0.2,7,9,4,0
4.04,2,1,0.6,6,7,2.5,0
4.02,4.8,8,1,8,7.5,4,0
4.02,3.7,4,0.1,5.5,5,5.5,0
4.02,2.4,1,0.9,7,6,5,0
4.02,2.1,0,0.7,5.5,8,1.5,0
4.01,2.5,7,0.8,6.5,7,5,0
4.01,1.5,10,0.6,2.5,6.5,5.5,0
3.99,1.4,0,0.3,6.5,6,4,0
3.98,4,10,0.9,8,5.5,4.5,0
3.97,3.1,8,0.3,7,6,4,0
3.96,3.5,4,0.3,4.5,4.5,2.5,0
3.96,1.7,12,1,6,5.5,3,0
3.95,3.3,6,0.6,7,6.5,5,0
3.95,1.6,5,0.5,6,5,2.5,0
3.94,4,2,0.8,5.5,3.5,4.5,0
3.94,2.3,5,0.3,5,5.5,6,0
3.94,2.2,1,0.3,6,6,5,0
3.93,2.3,8,0.4,6,0,2.5,0
3.92,4.6,8,0.5,5,6.5,5,0
3.92,3.5,2,0.4,3.5,6.5,3,0
3.92,1.4,11,1,1.5,1.5,1,0
3.92,1.4,6,0.7,8,6,4,0
3.89,4.9,4,0.3,7.5,8,4,0
3.89,1.5,2,0.9,5,7.5,4,0
3.88,2.4,4,0.3,2,4,2,0
3.87,1.4,4,0.7,5.5,5,3.5,0
3.85,4.3,2,0.8,6.5,6,3,0
3.84,3.3,7,0.8,2.5,4.5,7,0
3.84,2,2,1,4.5,3.5,3,0
3.81,2.8,2,0.7,4,7,3.5,0
3.8,4.6,3,1,6,7,5,0
3.8,1.6,0,0.8,4.5,7.5,5,0
3.8,1.6,10,0.3,7.5,5,4,0
3.79,2.9,12,0.5,2,4.5,4.5,0
3.79,2.2,5,0.2,5,7,6,0
3.78,3.9,10,0.2,4.5,6.5,5.5,0
3.78,3.4,0,0.8,3.5,7,4,0
3.75,4.5,6,1,5.5,6,3.5,0
3.73,4.7,4,0.5,8.5,6.5,4.5,0
3.71,4.7,0,0.6,6,7,5,0
3.71,3.9,1,0.9,3,7,5,0
3.71,3.5,2,0.6,2,6.5,4.5,0
3.71,1.8,6,0.5,6.5,7,4.5,0
3.69,4.1,4,0.6,4,4,4,0
3.68,4.8,5,0.9,3.5,5.5,3,0
3.67,1.7,7,0.6,7,6.5,4.5,0
3.67,1.2,10,0.4,4,5.5,6,0
3.66,4.6,10,0.4,6,3,5,0
3.66,3.3,3,0.5,5,5.5,4.5,0
3.65,3.4,4,0.5,4,5.5,2.5,0
3.64,4.1,0,0.6,8,6,5,0
3.64,1.4,0,0.3,4.5,6.5,6,0
3.62,2.4,2,0.4,6,7.5,5,0
3.61,4.9,1,0.7,7.5,4,5.5,0
3.61,4.5,7,0.5,6,6.5,4,0
3.61,4.3,8,0.8,7.5,5.5,3.5,0
3.61,2.1,6,0.8,4,5,3,0
3.6,3.7,0,0.1,6,6.5,5,0
3.6,2.4,7,1,4,6,6,0
3.6,2.3,0,0.3,5,4,7,0
3.59,1.3,0,0.9,6,6.5,4.5,0
3.58,3.4,6,0.2,2.5,5,2,0
3.57,2.3,3,0.5,5.5,6,6,0
3.56,4.5,11,0.4,6,6.5,4.5,0
3.56,4.3,4,0.6,6,5,4.5,0
3.55,3.6,12,1,5.5,3.5,4.5,0
3.53,4.6,11,0.2,8,6,5,0
3.53,3.4,10,0.2,5.5,6.5,5,0
3.53,2.1,3,0.6,5.5,7,3.5,0
3.52,3.8,11,0.3,0,0,0,0
3.51,3.8,9,0.5,6,6,6,0
3.51,2.5,2,0.9,3.5,6,3,0
3.49,4.4,14,0.7,2.5,0,2.5,0
3.49,3.8,11,0.4,3,7,3.5,0
3.49,2,8,0.3,7.5,6.5,3.5,0
3.49,1.8,22,0.9,5.5,5.5,3,0
3.49,1.8,3,0.6,7,7,4,0
3.49,1.8,10,0.6,4.5,6,3.5,0
3.47,3,7,0.7,6.5,7.5,4.5,0
3.47,2.3,10,0.8,7,4,4,0
3.46,4.1,3,0.9,3.5,6.5,2.5,0
3.46,3.6,14,0.9,2,0,3,0
3.46,2.2,2,0.5,3.5,5,1.5,0
3.45,3.7,3,0.5,5,5.5,4.5,0
3.45,3.4,7,0.6,6.5,3,5.5,0
3.45,2.8,4,0.8,7,5,3.5,0
3.45,1.5,0,0.9,5,6.5,6,0
3.43,3.4,12,1,3.5,7,6.5,0
3.43,2.5,11,0.5,5,6.5,2,0
3.43,2,10,0.4,7,5.5,3.5,0
3.42,4,0,0.9,6,4,4,0
3.42,2.5,2,0.5,2,3,3,0
3.41,3.6,5,0.8,6,6,3.5,0
3.4,3.4,11,0.3,5,6.5,4,0
3.4,2,6,0.9,6,6,3,0
3.39,3.1,27,0.8,0,0,0,0
3.39,2.9,1,0.1,5.5,6.5,2.5,0
3.38,3.8,2,0.2,3.5,6,5.5,0
3.38,2.4,4,0.6,5,4,6.5,0
3.37,3.8,7,0.5,3.5,5,4,0
3.36,2.7,10,0.4,6.5,5,2,0
3.33,3.1,1,1,3.5,7,4,0
3.33,1.5,2,0.6,4,4,4,0
3.32,4.2,4,0.9,7,7,5,0
3.32,2.3,8,0.2,7,3,5.5,0
3.32,2.1,2,0.2,6,5,4,0
3.31,4.5,10,0.7,4,5,4,0
3.3,4.8,7,0.7,6.5,7,4,0
3.3,3.9,9,0.6,4.5,2,2,0
3.3,1.4,5,0.7,8.5,5.5,4.5,0
3.29,2.1,2,0.5,4,6,6,0
3.25,3,0,0.5,7,6.5,3,0
3.24,2.4,3,0.4,7,7,4,0
3.24,1.3,3,0.1,9.5,6.5,4,0
3.23,4.4,2,1,5.5,7.5,3,0
3.22,4.5,11,0.3,8.5,7.5,3.5,0
3.22,2.3,3,0.3,6.5,6,5,0
3.22,2.1,9,0.8,3,4,1.5,0
3.22,1.6,0,0.3,4,6,5.5,0
3.2,2.6,0,0.6,8.5,0,5.5,0
3.2,2,6,0.4,6.5,7,4,0
3.18,1.5,10,0.8,5.5,4,4,0
3.17,2.1,10,0.9,7.5,6.5,4.5,0
3.17,1.2,2,0.3,6,7,4.5,0
3.16,1.2,1,1,2,5.5,4.5,0
3.15,1.5,2,1,6,5.5,5,0
3.14,1.8,8,0.6,9,7,3.5,0
3.13,3.4,5,0.3,7.5,7,4,0
3.13,3.2,4,0.1,3,5,4,0
3.12,4.7,6,0.8,2.5,8,5,0
3.09,4,0,0.6,4,4.5,2,0
3.08,2.8,10,0.5,4,6,6.5,0
3.08,2.8,4,0.4,1.5,7.5,3,0
3.07,3.3,11,0.3,7.5,8,3.5,0
3.07,1.5,1,0.4,6,5,4,0
3.06,2.5,3,0.6,5,6,3.5,0
3.05,3.9,10,0.7,3.5,5,4,0
3.05,1.5,1,0.9,2.5,6,4,0
3.04,3.6,1,0.2,4.5,7.5,4,0
3.03,4.2,11,0.8,5.5,6,5,0
3.03,3.6,2,0.7,6,6,5,0
3.03,3.6,6,0.5,3,4,3,0
3.02,4.2,11,0.5,5.5,5.5,4,0
3.01,2.5,4,0.9,7,4.5,4.5,0
3.01,2.1,6,0.8,7.5,4,5.5,0
3,3.8,1,0.2,6.5,6,5,0
3,1.5,2,0.9,3.5,7.5,6.5,0
2.99,1.5,6,0.2,6.5,5,3,0
2.98,1.4,7,0.8,4,6.5,4.5,0
2.98,1.3,6,0.9,5,6,6,0
2.97,3.5,6,0.8,4,6,3.5,0
2.96,3.1,11,0.6,2.5,5.5,5.5,0
2.96,1.3,6,0.8,3,3.5,3,0
2.95,4.3,4,0.6,5,4.5,4.5,0
2.95,3.9,10,0.8,5,6,4,0
2.95,3,6,0.9,4.5,3,5.5,0
2.94,4.8,0,0.4,4.5,4.5,3,0
2.94,3.9,3,0.3,4,6,5,0
2.94,3.3,8,0.8,7.5,6.5,5,0
2.94,3.2,10,0.7,5.5,7,2.5,0
2.94,2.8,1,0.5,4,5,4.5,0
2.94,1.5,5,0.4,3,2.5,1,0
2.93,3.1,4,1,5.5,5,5.5,0
2.92,1.7,6,1,5,4.5,5,0
2.91,4.6,0,0.4,8.5,7.5,3,0
2.91,1.9,2,0.7,4.5,3.5,3,0
2.9,3.5,1,0.8,6,4.5,3.5,0
2.89,4.9,4,0.5,5,4.5,4.5,0
2.89,4.1,8,0.4,4.5,6.5,6.5,0
2.89,1.7,2,0.3,2.5,6,6,0
2.85,3.8,5,0.2,4,6,5.5,0
2.84,3.4,2,0.8,4,8,5,0
2.82,4,11,0.7,7,8,3.5,0
2.81,4.7,4,0.7,7.5,4.5,6,0
2.81,3.4,8,0.4,1.5,4,4,0
2.81,2.3,3,0.9,5,5.5,5.5,0
2.81,1.8,2,0.7,0,0,3,0
2.8,2.2,6,0.5,3.5,4.5,6,0
2.8,2.1,8,0.7,4,5.5,5.5,0
2.77,4,2,0.7,6,8,4,0
2.76,1.7,0,0.5,6.5,6,4,0
2.75,4,0,0.1,5.5,7.5,5,0
2.74,4.3,10,0.6,0.5,5,3,0
2.74,3.3,6,0.3,6,6,2,0
2.73,4.7,6,0.7,3,7,4,0
2.72,4.8,2,0.5,5,6.5,2,0
2.72,4.3,10,0.3,7,4.5,3.5,0
2.72,2.9,12,0.3,9,6.5,3,0
2.72,2.4,12,0.5,5.5,4,4,0
2.72,1.5,4,0.2,3,6.5,3.5,0
2.71,4.7,2,0.3,4.5,5,4,0
2.71,2.7,5,0.2,8,5,5.5,0
2.7,3.4,7,0.9,8,7,4.5,0
2.69,4.3,5,0.5,4,6,5,0
2.69,4,0,0.5,6.5,7.5,4.5,0
2.67,4.3,8,0.7,7,6.5,5,0
2.66,4,8,0.4,6.5,6.5,5.5,0
2.64,2.6,6,0.8,5.5,5,4,0
2.64,2.4,2,0.5,2.5,6.5,4,0
2.63,4.7,6,0.5,6.5,6.5,5,0
2.63,4.5,4,0.5,1,3,0.5,0
2.62,3.6,0,0.9,4.5,4.5,3,0
2.62,1.5,4,0.4,8,3,5,0
2.61,3.9,0,0.5,4,6,4.5,0
2.61,2,10,0.5,5.5,6,2.5,0
2.6,3.1,7,0.8,5,5,5.5,0
2.59,4.2,8,0.7,4.5,6.5,4,0
2.58,4.7,12,0.4,4,5.5,5,0
2.56,1.7,0,0.8,4,5.5,3,0
2.54,4.9,4,0.4,5.5,5,3.5,0
2.51,4,10,0.5,6,7,4,0
2.51,3.1,4,0.3,3,7,3.5,0
2.5,4.7,9,0.4,6,6.5,4,0
2.5,2.8,12,0.7,5,4,1.5,0
2.5,2.7,6,0.6,5.5,6,3.5,0
2.5,2.2,2,0.7,7,6,3.5,0
2.5,1.8,2,0.6,5,7,5,0
2.49,1.5,0,0.8,7.5,6,3,0
2.49,1.3,2,0.9,7,6,3.5,0
2.48,4.8,8,1,6,6,5,0
2.46,3.3,1,0.7,4,2,2.5,0
2.46,2,11,0.6,6.5,5.5,2.5,0
2.45,3.5,3,0.3,4,4,5.5,0
2.44,4.8,8,0.3,5,7.5,4,0
2.44,2.2,1,0.6,4,6,3,0
2.43,3,12,0.9,6,6,3.5,0
2.42,4,5,0.5,4,5.5,4.5,0
2.41,2.4,11,0.5,6,6,6,0
2.4,1.3,1,0.2,3,5,4,0
2.38,4.5,6,1,8,6,4,0
2.38,4.2,5,0.8,3.5,6,5,0
2.38,1.8,4,0.1,7,6,3,0
2.36,1.9,2,0.9,6.5,4,5.5,0
2.36,1.6,4,0.2,3,6,5.5,0
2.34,2.5,2,0.8,6,5,3,0
2.33,1.5,9,1,6,3,1.5,0
2.3,3.4,10,0.4,8,5.5,4.5,0
2.3,1.9,10,0.6,7,6,5,0
2.3,1.9,2,0.3,5,7,3,0
2.3,1.3,3,0.5,4.5,6.5,5.5,0
2.29,1.8,14,1,2,0,2,0
2.28,2,6,0.6,2.5,6,5,0
2.27,3.2,10,0.8,7.5,8.5,3.5,0
2.27,1.6,2,0.6,6.5,8,4.5,0
2.25,2.4,2,0.6,6,5.5,5,0
2.24,4,8,0.3,8,7,4.5,0
2.23,4,2,0.5,6.5,7,3.5,0
2.22,4.4,4,0.4,6,5,4.5,0
2.21,4.5,5,0.9,3.5,3.5,1,0
2.21,3.5,6,0.2,5,6,4,0
2.19,4.6,2,0.3,3.5,4,3.5,0
2.17,4.4,2,0.6,8,5,5,0
2.17,2.5,9,0.2,7.5,7,4,0
2.16,1.8,4,0.2,5.5,6.5,4,0
2.13,4.2,12,0.7,6,5.5,4.5,0
2.12,2.9,11,0.4,3.5,3,1.5,0
2.12,1.8,3,0.5,4,7,2.5,0
2.12,1.8,3,0.5,7,6,4,0
2.09,4.8,1,0.4,6,8,5,0
2.09,3.8,10,0.6,2.5,5,6,0
2.08,4.9,10,0.9,5,4,5,0
2.07,4.8,6,0.8,5,6.5,5.5,0
2.07,2.1,0,0.4,3,6,2,0
2.05,4.1,2,0.5,2,3,2,0
2.04,2.4,3,0.6,6,7.5,5,0
2.03,3.2,2,0.8,2,5,4.5,0
2.03,2.4,4,0.6,4.5,6,4,0
2.02,4.1,6,0.1,5,0,0,0
2.02,3.1,0,0.9,5,7,4,0
2.01,1.5,2,0.6,3.5,4,3.5,0
2,1.5,11,0.1,5.5,6,3,0
1.98,3.8,3,0.7,7,7.5,3,0
1.98,2.2,7,0.6,4,6.5,6,0
1.98,1.9,8,0.4,7.5,6,4,0
1.97,2.2,11,0.7,8.5,4,5,0
1.97,1.9,12,0.5,4,3.5,5,0
1.94,3.3,1,0.6,5.5,6,4.5,0
1.94,2.1,8,0.1,7.5,5.5,5,0
1.93,3.5,4,0.2,6,6.5,5.5,0
1.93,2.5,2,0.9,4,6,4,0
1.92,4.4,8,0.1,4,6.5,4,0
1.92,2.5,6,0.7,4,5,5.5,0
1.91,4.5,6,0.2,3.5,5.5,4,0
1.91,3.3,11,0.8,5,5,6.5,0
1.9,4.8,0,0.7,5,5,4,0
1.88,3.5,10,0.2,8.5,5.5,3,0
1.88,2.2,8,0.4,3.5,7.5,6,0
1.88,1.2,4,0.7,7,7,3.5,0
1.87,4.8,4,0.7,8,6,5,0
1.87,4.8,0,0.4,5.5,5,2,0
1.87,3.8,0,0.3,6.5,7.5,3.5,0
1.87,2.5,0,0.6,5,6,5,0
1.84,2.7,9,0.2,5,4,2.5,0
1.83,4.7,7,0.5,6.5,4,4,0
1.82,2.3,2,0.4,5.5,9.5,4,0
1.82,1.3,0,0.9,5.5,6.5,2,0
1.8,2.2,10,1,6.5,5,5.5,0
1.79,4.1,9,0.4,4.5,1.5,4,0
1.79,3.3,10,0.2,5,7,5.5,0
1.77,3.7,11,0.2,4,5,5,0
1.77,3.6,7,0.2,5.5,8,5,0
1.76,4.9,1,0.7,4.5,7.5,5.5,0
1.76,1.4,10,0.3,5,5,6,0
1.75,4.8,9,0.3,2,6,4.5,0
1.75,2.9,4,0.3,4.5,6,5.5,0
1.73,4.2,1,0.2,6.5,7.5,4.5,0
1.7,3.6,7,0.6,4,5,1.5,0
1.7,2.3,12,0.6,5,6.5,5,0
1.7,1.3,11,0.8,6,6,6,0
1.69,4,6,0.7,5,4,3.5,0
1.69,4,10,0.1,0,0,0,0
1.67,2.3,5,0.9,2.5,7.5,6,0
1.66,4.4,5,0.2,6,5.5,5,0
1.66,2.1,4,0.6,4,3,3,0
1.65,1.9,6,0.6,4.5,6.5,5,0
1.64,1.2,6,0.7,7,5.5,5,0
1.63,3.9,10,0.1,8,6.5,4,0
1.62,4.7,12,0.5,6,4.5,4,0
1.61,4.7,11,0.2,3,2.5,2.5,0
1.61,3,11,0.2,7,3,4,0
1.61,1.5,3,0.8,5.5,6.5,5,0
1.6,4.2,4,0.2,1.5,6,1,0
1.6,2,6,0.7,5,6,6.5,0
1.58,2.1,11,0.8,6.5,6,5,0
1.57,4.8,4,0.4,5,7.5,3,0
1.57,4.3,8,0.7,3.5,5.5,6,0
1.56,1.5,0,0.9,4,7,4,0
1.54,3.6,2,0.9,6,6.5,3.5,0
1.53,4.5,12,0.7,6,7,5,0
1.53,3.5,4,0.9,6,4,4.5,0
1.52,4.7,9,0.6,2,7,4,0
1.52,1.8,5,0.9,6,6,6,0
1.51,2.5,5,0.1,6,6,5,0
1.5,2.7,2,0.9,5,5,4.5,0
1.48,3.5,2,0.3,6,5,3,0
1.47,3.3,9,0.7,5,6,5,0
1.47,2.8,8,0.9,4,5.5,4.5,0
1.46,3.5,6,0.6,4.5,3,5.5,0
1.46,3.5,0,0.4,4,6.5,4,0
1.45,1.2,0,1,3,6,5.5,0
1.44,4.4,1,0.6,6,7,4.5,0
1.44,1.4,2,0.6,4.5,5,4,0
1.43,1.5,10,0.9,7.5,4,6,0
1.42,4.1,11,0.8,3,8.5,4.5,0
1.42,3,2,0.4,5,6.5,6,0
1.42,1.8,0,0.6,6,6,4.5,0
1.41,3.1,1,0.4,7.5,4,6,0
1.41,2.4,6,1,4.5,4,7,0
1.4,3.9,5,0.9,5.5,6,6,0
1.4,3.7,2,0.4,2.5,6.5,5.5,0
1.37,2.5,11,0.7,8,4,6,0
1.36,3.4,2,0.6,6.5,5,5.5,0
1.36,3,11,0.6,7.5,7,4,0
1.35,3.3,2,0.4,6.5,7.5,4.5,0
1.35,3,4,0.5,7,6,5,0
1.35,2.5,1,0.9,5,6.5,6,0
1.34,3.4,8,0.8,5,0,0,0
1.33,3.2,9,0.8,9,6,4.5,0
1.33,1.2,0,0.5,6.5,6.5,3.5,0
1.32,3.1,5,1,5.5,4,5,0
1.32,1.8,3,0.5,4.5,5.5,2,0
1.32,1.8,5,0.3,6.5,7.5,4.5,0
1.32,1.4,6,0.9,5,4,3.5,0
1.32,1.3,8,0.6,3,7,3,0
1.31,3.6,2,0.8,4,4,4,0
1.31,2.4,1,0.1,5.5,6.5,6,0
